"Taxon","GR","Easting","Northing","Buffer","Precision","Monad","Tetrad","Hectad","Habitat species","Habitat site","Site","Day","Month","Year","Finder","Determiner","COLLECTION","COLLNO","Confirmer","Comments","ALTITUDE","ZeroAbund","Seen?","DateType","StartDate","EndDate","COMPILER","BULBILS","FEMALE_PRESENT","FRUITING","GEMMAE","LIT_REFERENCE"
"Brachythecium mildeanum","SJ66",365000,365000,5000,"10km","NA","NA","SJ66",,,"Over","#VALUE!","#VALUE!",1827,"Wilson, W.","Hill, M.O.","NMW",,,,,,,"Year","01/01/1827","31/12/1827",,,,,,
"Microbryum davallianum","SJ88",385000,385000,5000,"10km","NA","NA","SJ88",,,"Ringway,above the Bollin","#VALUE!","#VALUE!",1828,"Unknown","Chamberlain, D.F.","BM",,,,,,,"Day","17/11/1828","17/11/1828",,,,,,
"Plagiothecium latebricola","SJ66",365000,365000,5000,"10km","NA","NA","SJ66",,,"Over,Paper Mill Wood","#VALUE!","#VALUE!",1828,"Wilson, W.","Unknown",,,,,,,,"Year","01/01/1828","31/12/1828",,,,,,
"Tortula wilsonii","SJ66",365000,365000,5000,"10km","NA","NA","SJ66",,,"Over","#VALUE!","#VALUE!",1828,"Wilson, W.","Unknown",,,,,,,,"Year","01/01/1828","31/12/1828",,,,,,
"Tortula wilsonii","SJ66",365000,365000,5000,"10km","NA","NA","SJ66",,,"Over","#VALUE!","#VALUE!",1828,"Wilson, W.","Unknown",,,,"Data in e-mail from A.V. Smith, 10 Jan 2003",,,,"Year","01/01/1828","31/12/1828","Hodgetts, N.G.",,,,,
"Tortula wilsonii","SJ66",365000,365000,5000,"10km","NA","NA","SJ66","bank by roadside",,"Over-Delamere Forest","#VALUE!","#VALUE!",1828,"Wilson, W.","Unknown",,,,,,,,"Month","01/01/1828","31/01/1828",,,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1831,"Unknown","Unknown","BM",,,,,,,"Day","21/07/1831","21/07/1831",,,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1831,"Wilson, W.","Unknown","NMW",,,,,,,"Day","24/12/1831","24/12/1831",,,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1832,"Wilson, W.","Unknown","BM",,,,,,,"Month","01/04/1832","30/04/1832",,,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1832,"Wilson, W.","Unknown","BM",,,,,,,"Month","01/05/1832","31/05/1832",,,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Crag","#VALUE!","#VALUE!",1832,"Unknown","Unknown","GLAM",,,"Helsby Crag. cfr. deh'd and undeh'd. GLAM. 1927-8-6191. S",,,,"Month","01/03/1832","31/03/1832","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Hill","#VALUE!","#VALUE!",1832,"Wilson, W.","Unknown",,,,"Helsby Crag",,,,"Month","01/03/1832","31/03/1832","Hodgetts, N.G.",,,,,
"Paludella squarrosa","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1832,"Wilson, W.","Unknown","BM",,,,,,,"Day","10/04/1832","10/04/1832",,,,,,
"Paludella squarrosa","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1832,"Wilson, W.","Unknown","BM",,,,,,,"Day","16/04/1832","16/04/1832",,,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1833,"Unknown","Unknown","BM",,,,,,,"Day","16/04/1833","16/04/1833",,,,,,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham","#VALUE!","#VALUE!",1833,"Unknown","Unknown","BM",,,"Frodsham. sporophyte absent. BM ('large stems' - 2.4cm tall).",,,,"Month","01/04/1833","30/04/1833","Porley, R.D.",,,,,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham","#VALUE!","#VALUE!",1833,"Unknown","Unknown","NMW",,,"Frodsham. cfr. dehisced and undehisced. NMW.",,,,"Year","01/01/1833","31/12/1833","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham","#VALUE!","#VALUE!",1833,"Wilson, W.","Unknown",,,,,,,,"Month","01/04/1833","30/04/1833","Hodgetts, N.G.",,,,,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham Hills, Cheshire","#VALUE!","#VALUE!",1833,"Unknown","Unknown","BM",,,"Frodsham Hills, Cheshire. 'large variety'. cfr. dehisced and undehisced. BM.",,,,"Month","01/04/1833","30/04/1833","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby  Crag","#VALUE!","#VALUE!",1833,"Unknown","Unknown","E",,,"Helsby  Crag. cfr.dehisced and undeh'd. E. note: isotype?Meijer 1952.   ISOTYPE?",,,,"Year","01/01/1833","31/12/1833","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Crag","#VALUE!","#VALUE!",1833,"Wilson, W.","Unknown","E",,,,,,,"Year","01/01/1833","31/12/1833",,,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Crag, Cheshire","#VALUE!","#VALUE!",1833,"Unknown","Unknown","BM",,,"Helsby Crag, Cheshire. cfr. dehisced and undehisced. BM (6).   ISOTYPE?",,,,"Day","27/03/1833","27/03/1833","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ4975",349500,375500,500,"1km","SJ4975","SJ47X","SJ47",,,"Helsby Hill, Helsby Crag","#VALUE!","#VALUE!",1833,"Wilson, W.","Unknown",,,,"Data in e-mail from A.V. Smith, 10 Jan 2003",,,,"Day","27/03/1833","27/03/1833","Hodgetts, N.G.",,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby, nr.","#VALUE!","#VALUE!",1833,"Wilson, W.","Unknown",,,,"Helsby Crag",,,,"Year","01/01/1833","31/12/1833","Hodgetts, N.G.",,,,,
"Dichodontium flavescens","SJ68",365000,385000,5000,"10km","NA","NA","SJ68",,,"Hillcliffe,wd below","#VALUE!","#VALUE!",1834,"Wilson, W.","Hill, M.O.","BM",,,,,,,"Year","01/01/1834","31/12/1834",,,,,,
"Marchantia polymorpha subsp. ruderalis","SJ68",365000,385000,5000,"10km","NA","NA","SJ68",,,"Lymm","#VALUE!","#VALUE!",1834,"Wilson, W.","Long, D.G.","BM",,,,,,,"Month","01/08/1834","31/08/1834","Long, D.G.",,,,,
"Physcomitrium sphaericum","SJ78",375000,385000,5000,"10km","NA","NA","SJ78",,,"Mere Mere","#VALUE!","#VALUE!",1834,"Wilson, W.","Unknown","NMW",,,,,,,"Day","16/09/1834","16/09/1834",,,,,,
"Physcomitrium sphaericum","SJ78",375000,385000,5000,"10km","NA","NA","SJ78",,,"Mere Mere","#VALUE!","#VALUE!",1834,"Wilson, W.","Unknown","E",,,,,,,"Month","01/11/1834","30/11/1834",,,,,,
"Riccia canaliculata","SJ78",375000,385000,5000,"10km","NA","NA","SJ78",,,"Mere","#VALUE!","#VALUE!",1834,"Wilson, W.","Unknown","MANCH",,,,,,,"Year","01/01/1834","31/12/1834",,,,,,
"Riccia fluitans","SJ78",375000,385000,5000,"10km","NA","NA","SJ78",,,"Mere","#VALUE!","#VALUE!",1834,"Wilson, W.","Unknown","E",,,,,,,"Month","01/09/1834","30/09/1834",,,,,,
"Weissia multicapsularis","SJ68",365000,385000,5000,"10km","NA","NA","SJ68",,,"Appleton","#VALUE!","#VALUE!",1836,"Wilson, W.","Unknown",,,,,,,,"Year","01/01/1836","31/12/1836",,,,,,
"Discelium nudum","SJ99",395000,395000,5000,"10km","NA","NA","SJ99",,,"Stalybridge,Brushes","#VALUE!","#VALUE!",1840,"Shawe, Rev. J.","Unknown","BM",,,,,,,"Month","01/03/1840","31/03/1840",,,,,,
"Marchantia polymorpha subsp. polymorpha","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1840,"Wilson, W.","Long, D.G.","BM",,,,,,,"Month","01/07/1840","31/07/1840","Long, D.G.",,,,,
"Dicranum undulatum","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1841,"Wilson, W.","Unknown","BM",,,,,,,"Month","01/04/1841","30/04/1841",,,,,,
"Helodium blandowii","SJ77P",375000,379000,1000,"2km","NA","SJ77P","SJ77",,,"Knutsford Moor","#VALUE!","#VALUE!",1841,"Wilson, W.","Unknown",,,,"Originally recorded as 'near Warrington', so presumably Knutsford Moor",,,,"Year","01/01/1841","31/12/1841","Hodgetts, N.G.",,,,,
"Helodium blandowii","SJ77",375000,375000,5000,"10km","NA","NA","SJ77",,,"Warrington,nr","#VALUE!","#VALUE!",1841,"Wilson, W.","Unknown","BM",,,,,,,"Year","01/01/1841","31/12/1841",,,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby","#VALUE!","#VALUE!",1841,"Unknown","Unknown","BM",,,"Helsby. BM. (slides).",,,,"Day","16/04/1841","16/04/1841","Porley, R.D.",,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby, nr.","#VALUE!","#VALUE!",1841,"Wilson, W.","Unknown",,,,,,,,"Day","16/04/1841","16/04/1841","Hodgetts, N.G.",,,,,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham","#VALUE!","#VALUE!",1842,"Wilson, W.","Unknown",,,,,,,,"Day","11/03/1842","11/03/1842","Hodgetts, N.G.",,,,,
"Orthodontium gracile","SJ57",355000,375000,5000,"10km","NA","NA","SJ57",,,"Frodsham, Cheshire","#VALUE!","#VALUE!",1842,"Unknown","Unknown","BM",,,"Frodsham, Cheshire. cfr. dehisced and undehisced. BM.",,,,"Day","11/03/1842","11/03/1842","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby","#VALUE!","#VALUE!",1842,"Unknown","Unknown","BM",,,"Helsby. BM. (slides).",,,,"Month","01/03/1842","31/03/1842","Porley, R.D.",,,,,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Hill","#VALUE!","#VALUE!",1842,"Unknown","Unknown","NMW",,,"Helsby Hill. cfr. dehisced and undehisced. NMW.",,,,"Day","11/03/1842","11/03/1842","Porley, R.D.",,,"Y",,
"Orthodontium gracile","SJ47",345000,375000,5000,"10km","NA","NA","SJ47",,,"Helsby Hill","#VALUE!","#VALUE!",1842,"Wilson, W.","Unknown","NMW",,,,,,,"Day","11/03/1842","11/03/1842",,,,,,
