Monad,EastingCentre,NorthingCentre
SE1301,413500,401500
SE1300,413500,400500
SK1399,413500,399500
SE1202,412500,402500
SE1201,412500,401500
SE1200,412500,400500
SK1299,412500,399500
SE1102,411500,402500
SE1101,411500,401500
SE1100,411500,400500
SK1199,411500,399500
SE1003,410500,403500
SE1002,410500,402500
SE1001,410500,401500
SE1000,410500,400500
SK1099,410500,399500
SE0904,409500,404500
SE0903,409500,403500
SE0902,409500,402500
SE0901,409500,401500
SE0900,409500,400500
SK0999,409500,399500
SE0804,408500,404500
SE0803,408500,403500
SE0802,408500,402500
SE0801,408500,401500
SE0800,408500,400500
SK0899,408500,399500
SE0704,407500,404500
SE0703,407500,403500
SE0702,407500,402500
SE0701,407500,401500
SE0700,407500,400500
SK0799,407500,399500
SK0798,407500,398500
SE0604,406500,404500
SE0603,406500,403500
SE0602,406500,402500
SE0601,406500,401500
SE0600,406500,400500
SK0699,406500,399500
SK0698,406500,398500
SE0504,405500,404500
SE0503,405500,403500
SE0502,405500,402500
SE0501,405500,401500
SE0500,405500,400500
SK0599,405500,399500
SK0598,405500,398500
SE0402,404500,402500
SE0401,404500,401500
SE0400,404500,400500
SK0499,404500,399500
SK0498,404500,398500
SK0497,404500,397500
SE0301,403500,401500
SE0300,403500,400500
SK0399,403500,399500
SK0398,403500,398500
SK0397,403500,397500
SE0201,402500,401500
SE0200,402500,400500
SK0299,402500,399500
SK0298,402500,398500
SK0297,402500,397500
SK0296,402500,396500
SE0102,401500,402500
SE0101,401500,401500
SE0100,401500,400500
SK0199,401500,399500
SK0198,401500,398500
SK0197,401500,397500
SK0196,401500,396500
SK0195,401500,395500
SK0183,401500,383500
SK0182,401500,382500
SK0181,401500,381500
SK0180,401500,380500
SK0179,401500,379500
SK0178,401500,378500
SK0177,401500,377500
SK0176,401500,376500
SK0175,401500,375500
SK0174,401500,374500
SK0173,401500,373500
SK0172,401500,372500
SK0171,401500,371500
SK0170,401500,370500
SK0169,401500,369500
SE0002,400500,402500
SE0001,400500,401500
SE0000,400500,400500
SK0099,400500,399500
SK0098,400500,398500
SK0097,400500,397500
SK0096,400500,396500
SK0095,400500,395500
SK0094,400500,394500
SK0084,400500,384500
SK0083,400500,383500
SK0082,400500,382500
SK0081,400500,381500
SK0080,400500,380500
SK0079,400500,379500
SK0078,400500,378500
SK0077,400500,377500
SK0076,400500,376500
SK0075,400500,375500
SK0074,400500,374500
SK0073,400500,373500
SK0072,400500,372500
SK0071,400500,371500
SK0070,400500,370500
SK0069,400500,369500
SK0068,400500,368500
SK0067,400500,367500
SK0066,400500,366500
SD9902,399500,402500
SD9901,399500,401500
SD9900,399500,400500
SJ9999,399500,399500
SJ9998,399500,398500
SJ9997,399500,397500
SJ9996,399500,396500
SJ9995,399500,395500
SJ9994,399500,394500
SJ9993,399500,393500
SJ9985,399500,385500
SJ9984,399500,384500
SJ9983,399500,383500
SJ9982,399500,382500
SJ9981,399500,381500
SJ9980,399500,380500
SJ9979,399500,379500
SJ9978,399500,378500
SJ9977,399500,377500
SJ9976,399500,376500
SJ9975,399500,375500
SJ9974,399500,374500
SJ9973,399500,373500
SJ9972,399500,372500
SJ9971,399500,371500
SJ9970,399500,370500
SJ9969,399500,369500
SJ9968,399500,368500
SJ9967,399500,367500
SJ9966,399500,366500
SJ9965,399500,365500
SD9803,398500,403500
SD9802,398500,402500
SD9801,398500,401500
SD9800,398500,400500
