Monad,Count
SJ8577,163
SJ8677,116
SJ9693,116
SJ5572,99
SJ6950,92
SJ5778,88
SJ5371,86
SK0074,85
SJ5785,84
SK0174,84
SJ8578,81
SJ9775,81
SJ4975,79
SJ5279,79
SJ9675,79
SJ5053,78
SJ5255,78
SJ7483,78
SJ4952,77
SJ5471,77
SJ7075,77
SJ9488,77
SJ5372,76
SJ5782,74
SJ9793,74
SJ5768,73
SJ5576,72
SJ8678,72
SJ9771,71
SK0079,71
SD9801,70
SJ5054,70
SJ9270,70
SJ5985,69
SJ6786,69
SJ9791,69
SJ5379,68
SJ2484,67
SJ5968,67
SJ5983,66
SJ8383,66
SJ9070,66
SJ6248,65
SJ9774,65
SJ5075,64
SJ9689,64
SJ9690,64
SJ6787,63
SJ7652,63
SJ7965,63
SJ8587,63
SJ6068,62
SJ5482,61
SJ9382,61
SJ9670,61
SJ3174,60
SJ5081,60
SJ5356,60
SJ5865,60
SJ5876,60
SJ6886,60
SJ9091,60
SJ5470,59
SJ9484,59
SE0903,58
SJ5176,58
SJ6587,58
SJ5370,57
SJ7484,57
SJ8092,57
SJ9590,57
SJ5479,56
SJ6785,56
SJ8689,56
SJ9578,56
SJ9894,56
SK0097,56
SD9902,55
SJ4953,55
SJ5271,55
SJ5986,55
SJ6285,55
SJ6887,55
SJ7582,55
SJ8476,55
SJ8686,55
SJ5481,54
SJ7984,54
SJ9085,54
SJ9489,54
SJ5969,53
SJ7478,53
SJ7490,53
SJ7580,53
SJ9190,53
SJ5177,52
SJ5681,52
SJ7682,52
SJ9692,52
SJ9893,52
SJ6080,51
SJ8381,51
SJ9589,51
SJ6085,50
SJ8687,50
SJ3281,49
SJ5383,49
SJ7891,49
SJ9584,49
SJ9792,49
SE0901,48
SJ5155,48
SJ5380,48
SJ5668,48
SJ5676,48
SJ6175,48
SJ7087,48
SJ9898,48
SE0804,47
SJ4576,47
SJ7280,47
SJ7292,47
SJ8481,47
SJ3472,46
SJ5276,46
SJ5878,46
SJ6283,46
SJ7091,46
SJ8083,46
SJ9482,46
SJ9671,46
SJ9687,46
SJ9770,46
SD9901,45
SJ2287,45
SJ5282,45
SJ5685,45
SJ6288,45
SJ6479,45
SJ7277,45
SJ7885,45
SJ8483,45
SJ9487,45
SJ9493,45
SE0602,44
SJ2186,44
SJ4774,44
SJ5170,44
SJ5359,44
SJ5475,44
SJ5767,44
SJ5885,44
SJ7078,44
SJ7191,44
SJ8588,44
SJ8658,44
SJ9691,44
SJ9797,44
SJ4162,43
SJ5055,43
SJ5082,43
SJ5182,43
SJ5277,43
SJ6386,43
SJ6880,43
SJ9686,43
SJ9783,43
SJ3660,42
SJ5175,42
SJ5358,42
SJ5869,42
SJ7084,42
SJ8388,42
SJ8583,42
SJ9593,42
SJ3273,41
SJ3371,41
SJ5578,41
SJ5584,41
SJ5680,41
SJ6083,41
SJ6168,41
SJ6688,41
SJ6788,41
SJ6989,41
SJ7380,41
SJ7683,41
SD9700,40
SJ5256,40
SJ5377,40
SJ5478,40
SJ5882,40
SJ6167,40
SJ7088,40
SJ8885,40
SJ8984,40
SJ4844,39
SJ5357,39
SJ5783,39
SJ7290,39
SJ7993,39
SJ8986,39
SJ3673,38
SJ5178,38
SJ5283,38
SJ6075,38
SJ6247,38
SJ6487,38
SJ6581,38
SJ7291,38
SJ7590,38
SJ7790,38
SJ8576,38
SJ8886,38
SJ9389,38
SJ5382,37
SJ5581,37
SJ5877,37
SJ6179,37
SJ6583,37
SJ7192,37
SJ7581,37
SJ7651,37
SJ8283,37
SJ8380,37
SJ8684,37
SJ8786,37
SJ8787,37
SJ9586,37
SJ9980,37
SJ3758,36
SJ6282,36
SJ8061,36
SJ8382,36
SJ8488,36
SJ9790,36
SK0398,36
SE1100,35
SJ2187,35
SJ4772,35
SJ5671,35
SJ6086,35
SJ6287,35
SJ6783,35
SJ7276,35
SJ8189,35
SJ8386,35
SJ8581,35
SJ8985,35
SJ9289,35
SJ9490,35
SJ9581,35
SJ9694,35
SJ2485,34
SJ4773,34
SJ5254,34
SJ5275,34
SJ5881,34
SJ6188,34
SJ6269,34
SJ6488,34
SJ7379,34
SJ7488,34
SJ7579,34
SJ7655,34
SJ7691,34
SJ8558,34
SJ9485,34
SJ9492,34
SJ9678,34
SK0178,34
SK0799,34
SJ3173,33
SJ3375,33
SJ4161,33
SJ4273,33
SJ5052,33
SJ6277,33
SJ6782,33
SJ7083,33
SJ9092,33
SJ9184,33
SJ9684,33
SJ9688,33
SJ9899,33
SJ9993,33
SJ5180,32
SJ5181,32
SJ5480,32
SJ6486,32
SJ7286,32
SJ7384,32
SJ7967,32
SJ8589,32
SJ8784,32
SJ9969,32
SJ9984,32
SJ9995,32
SJ2389,31
SJ4577,31
SJ5174,31
SJ6076,31
SJ6084,31
SJ6178,31
SJ6278,31
SJ6485,31
SJ6884,31
SJ6990,31
SJ7287,31
SJ7390,31
SJ7551,31
SJ8584,31
SJ9997,31
SK0499,31
SJ2088,30
SJ3074,30
SJ3374,30
SJ3389,30
SJ4972,30
SJ5483,30
SJ6572,30
SJ6678,30
SJ6684,30
SJ6881,30
SJ7578,30
SJ7793,30
SJ8484,30
SJ9772,30
SJ9795,30
SK0078,30
SE0502,29
SJ2591,29
SJ2890,29
SJ4476,29
SJ5381,29
SJ6181,29
SJ6187,29
SJ6381,29
SJ6879,29
SJ6983,29
SJ7254,29
SJ8093,29
SJ8685,29
SJ8688,29
SK0080,29
SK0098,29
SJ2288,28
SJ2487,28
SJ3073,28
SJ4570,28
SJ4874,28
SJ5183,28
SJ6082,28
SJ6275,28
SJ7090,28
SJ7480,28
SJ8557,28
SJ9494,28
SJ9592,28
SJ9896,28
SE1101,27
SJ3661,27
SJ4474,27
SJ4971,27
SJ5080,27
SJ5280,27
SJ5976,27
SJ6780,27
SJ7278,27
SJ7393,27
SJ7681,27
SJ7892,27
SJ9189,27
SJ9491,27
SJ9996,27
SJ2087,26
