Monad,Species
SD7249,Cephaloziella divaricata
SD8511,Amblystegium serpens
SD8511,Atrichum undulatum
SD8511,Brachythecium rutabulum
SD8511,Bryum argenteum
SD8511,Bryum capillare
SD8511,Bryum dichotomum
SD8511,Cryphaea heteromalla
SD8511,Didymodon insulanus
SD8511,Fissidens bryoides
SD8511,Fissidens taxifolius
SD8511,Grimmia pulvinata
SD8511,Kindbergia praelonga
SD8511,Lophocolea bidentata
SD8511,Lunularia cruciata
SD8511,Metzgeria furcata
SD8511,Metzgeria violacea
SD8511,Orthotrichum affine
SD8511,Radula complanata
SD8511,Rhizomnium punctatum
SD8511,Rhynchostegium confertum
SD8511,Tortula muralis
SD8511,Ulota bruchii
SD9700,Amblystegium serpens
SD9700,Atrichum undulatum
SD9700,Brachythecium rivulare
SD9700,Brachythecium rutabulum
SD9700,Bryum capillare
SD9700,Calliergonella cuspidata
SD9700,Campylopus introflexus
SD9700,Cephalozia bicuspidata
SD9700,Ceratodon purpureus
SD9700,Colura calyptrifolia
SD9700,Cryphaea heteromalla
SD9700,Dicranella heteromalla
SD9700,Dicranoweisia cirrata
SD9700,Dicranum scoparium
SD9700,Encalypta streptocarpa
SD9700,Fissidens adianthoides
SD9700,Fissidens taxifolius
SD9700,Frullania dilatata
SD9700,Grimmia pulvinata
SD9700,Homalothecium sericeum
SD9700,Hypnum andoi
SD9700,Hypnum cupressiforme
SD9700,Kindbergia praelonga
SD9700,Lophocolea bidentata
SD9700,Lunularia cruciata
SD9700,Metzgeria furcata
SD9700,Metzgeria violacea
SD9700,Mnium hornum
SD9700,Orthotrichum affine
SD9700,Orthotrichum pulchellum
SD9700,Pseudotaxiphyllum elegans
SD9700,Racomitrium aciculare
SD9700,Radula complanata
SD9700,Rhizomnium punctatum
SD9700,Rhytidiadelphus squarrosus
SD9700,Rhytidiadelphus triquetrus
SD9700,Sphagnum palustre
SD9700,Tortula muralis
SD9700,Ulota bruchii
SD9700,Ulota phyllantha
SD9701,Brachythecium rutabulum
SD9701,Dicranoweisia cirrata
SD9701,Kindbergia praelonga
SD9701,Lophocolea bidentata
SD9701,Metzgeria furcata
SD9701,Metzgeria violacea
SD9701,Orthotrichum affine
SD9701,Polytrichum commune
SD9701,Polytrichum juniperinum
SD9701,Rhytidiadelphus squarrosus
SD9800,Barbula convoluta
SD9800,Brachythecium rutabulum
SD9800,Bryum argenteum
SD9800,Bryum capillare
SD9800,Bryum dichotomum
SD9800,Calliergonella cuspidata
SD9800,Campylopus introflexus
SD9800,Ceratodon purpureus
SD9800,Dicranella heteromalla
SD9800,Dicranum scoparium
SD9800,Funaria hygrometrica
SD9800,Grimmia pulvinata
SD9800,Hylocomium splendens
SD9800,Hypnum cupressiforme
SD9800,Hypnum jutlandicum
SD9800,Kindbergia praelonga
SD9800,Lophocolea bidentata
SD9800,Lunularia cruciata
SD9800,Orthotrichum affine
SD9800,Orthotrichum anomalum
SD9800,Polytrichum commune
SD9800,Pseudotaxiphyllum elegans
SD9800,Rhytidiadelphus squarrosus
SD9800,Tetraphis pellucida
SD9800,Tortula muralis
SD9801,Amblystegium serpens
SD9801,Aneura pinguis
SD9801,Atrichum undulatum
SD9801,Barbilophozia floerkei
SD9801,Barbula convoluta
SD9801,Barbula unguiculata
SD9801,Brachythecium mildeanum
SD9801,Brachythecium rivulare
SD9801,Brachythecium rutabulum
SD9801,Bryoerythrophyllum recurvirostrum
SD9801,Bryum argenteum
SD9801,Bryum capillare
SD9801,Bryum dichotomum
SD9801,Calliergonella cuspidata
SD9801,Calypogeia fissa
SD9801,Calypogeia neesiana
SD9801,Campylopus flexuosus
SD9801,Campylopus introflexus
SD9801,Cephalozia bicuspidata
SD9801,Ceratodon purpureus
SD9801,Chiloscyphus polyanthos
SD9801,Cryphaea heteromalla
SD9801,Dichodontium pellucidum
SD9801,Dicranella heteromalla
SD9801,Dicranella rufescens
SD9801,Dicranoweisia cirrata
SD9801,Didymodon fallax
SD9801,Eurhynchium striatum
SD9801,Fissidens bryoides
SD9801,Fissidens taxifolius
SD9801,Frullania dilatata
SD9801,Frullania tamarisci
SD9801,Grimmia pulvinata
SD9801,Hypnum andoi
SD9801,Hypnum cupressiforme
SD9801,Hypnum jutlandicum
SD9801,Kindbergia praelonga
SD9801,Lophocolea bidentata
SD9801,Lophocolea heterophylla
SD9801,Metzgeria furcata
